id,country,category,subcategory,domain,meta,last_found,first_found,found_by,getter_name
1,NL,Education,primary education,www.ckcdewegwijzer.nl,"{'adres_straat': 'Harm Tiesingstraat', 'adres_nummer': '74', 'postcode': '9571 AZ', 'plaats': '2E EXLOERMOND', 'correspondentieadres_straat': 'Harm Tiesingstraat', 'correspondentieadres_nummer': '74', 'correspondentieadres_postcode': '9571 AZ', 'correspondentieadres_plaats': '2E EXLOERMOND', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0599671206'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
2,NL,Education,primary education,www.cbsdeborgh.nl,"{'adres_straat': 'Molenstraat', 'adres_nummer': '3-A', 'postcode': '9531 CH', 'plaats': 'BORGER', 'correspondentieadres_straat': 'Molenstraat', 'correspondentieadres_nummer': '3-A', 'correspondentieadres_postcode': '9531 CH', 'correspondentieadres_plaats': 'BORGER', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0599234254'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
3,NL,Education,primary education,www.cbsdrijber.nl,"{'adres_straat': 'Nijenkamp', 'adres_nummer': '29', 'postcode': '9419 TM', 'plaats': 'DRIJBER', 'correspondentieadres_straat': 'Nijenkamp', 'correspondentieadres_nummer': '29', 'correspondentieadres_postcode': '9419 TM', 'correspondentieadres_plaats': 'DRIJBER', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0593562543'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
4,NL,Education,primary education,www.cbs-mensoalting.nl,"{'adres_straat': 'Brinkhovenlaan', 'adres_nummer': '3-B', 'postcode': '9765 BH', 'plaats': 'PATERSWOLDE', 'correspondentieadres_straat': 'Brinkhovenlaan', 'correspondentieadres_nummer': '3-B', 'correspondentieadres_postcode': '9765 BH', 'correspondentieadres_plaats': 'PATERSWOLDE', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0503093854'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
5,NL,Education,primary education,www.dkckompas.nl,"{'adres_straat': 'Ceresstraat', 'adres_nummer': '6', 'postcode': '9514 CA', 'plaats': 'GASSELTERNIJVEEN', 'correspondentieadres_straat': 'Ceresstraat', 'correspondentieadres_nummer': '6', 'correspondentieadres_postcode': '9514 CA', 'correspondentieadres_plaats': 'GASSELTERNIJVEEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0599512734'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
6,NL,Education,primary education,www.cbsdeklister.nl,"{'adres_straat': 'Noorderdiep', 'adres_nummer': '123', 'postcode': '9521 BC', 'plaats': 'NIEUW-BUINEN', 'correspondentieadres_straat': 'Noorderdiep', 'correspondentieadres_nummer': '123', 'correspondentieadres_postcode': '9521 BC', 'correspondentieadres_plaats': 'NIEUW-BUINEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0599613864'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
7,NL,Education,primary education,www.school59.nl,"{'adres_straat': 'Zuiderdiep', 'adres_nummer': '159', 'postcode': '9521 AD', 'plaats': 'NIEUW-BUINEN', 'correspondentieadres_straat': 'Zuiderdiep', 'correspondentieadres_nummer': '159', 'correspondentieadres_postcode': '9521 AD', 'correspondentieadres_plaats': 'NIEUW-BUINEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0599212321'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
8,NL,Education,primary education,www.cbsdevaart.nl,"{'adres_straat': 'Prof. Dr. Obbinkstraat', 'adres_nummer': '3-B', 'postcode': '9423 PR', 'plaats': 'HOOGERSMILDE', 'correspondentieadres_straat': 'Prof. Dr. Obbinkstraat', 'correspondentieadres_nummer': '3-B', 'correspondentieadres_postcode': '9423 PR', 'correspondentieadres_plaats': 'HOOGERSMILDE', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592459055'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
9,NL,Education,primary education,www.kindcentrumspeelenleer.nl,"{'adres_straat': 'Kerklaan', 'adres_nummer': '3', 'postcode': '9341 AV', 'plaats': 'VEENHUIZEN', 'correspondentieadres_straat': 'Kerklaan', 'correspondentieadres_nummer': '3', 'correspondentieadres_postcode': '9341 AV', 'correspondentieadres_plaats': 'VEENHUIZEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592388355'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
10,NL,Education,primary education,www.octaafassen.nl,"{'adres_straat': 'Witterhoofdweg', 'adres_nummer': '1-C', 'postcode': '9405 HX', 'plaats': 'ASSEN', 'correspondentieadres_straat': 'Witterhoofdweg', 'correspondentieadres_nummer': '1-C', 'correspondentieadres_postcode': '9405 HX', 'correspondentieadres_plaats': 'ASSEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592351506'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
11,NL,Education,primary education,www.cbsdewingerd.nl,"{'adres_straat': 'Floralaan', 'adres_nummer': '1-A', 'postcode': '9421 NP', 'plaats': 'BOVENSMILDE', 'correspondentieadres_straat': 'Floralaan', 'correspondentieadres_nummer': '1-A', 'correspondentieadres_postcode': '9421 NP', 'correspondentieadres_plaats': 'BOVENSMILDE', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592412991'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
12,NL,Education,primary education,www.demarkegieten.nl,"{'adres_straat': 'de Weegbree', 'adres_nummer': '21', 'postcode': '9461 KM', 'plaats': 'GIETEN', 'correspondentieadres_straat': 'Postbus', 'correspondentieadres_nummer': '120', 'correspondentieadres_postcode': '9460 AC', 'correspondentieadres_plaats': 'GIETEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592263113'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
13,NL,Education,primary education,www.wegwijzer-westerbork.nl,"{'adres_straat': 'Homaat', 'adres_nummer': '2', 'postcode': '9431 MK', 'plaats': 'WESTERBORK', 'correspondentieadres_straat': 'Postbus', 'correspondentieadres_nummer': '44', 'correspondentieadres_postcode': '9430 AA', 'correspondentieadres_plaats': 'WESTERBORK', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0593331305'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
